R,G,B,O,Y,B
132,110,111,197,323,312
132,107,112,195,329,310
133,106,105,192,322,315
133,106,106,192,322,315
133,106,106,190,326,313
133,105,108,193,323,313
133,105,107,191,325,313
133,104,108,190,328,312
133,103,108,191,327,312
134,103,107,189,328,313
134,102,105,185,331,312
134,103,110,191,331,311
133,101,115,192,336,305
133,99,116,192,338,304
133,99,115,191,339,303
133,97,116,188,343,300
133,94,116,188,343,299
133,91,116,185,346,297
133,91,117,185,346,297
133,91,117,185,347,298
133,91,118,187,347,299
133,94,120,188,348,296
133,92,120,188,347,296
133,95,119,188,347,297
133,91,120,187,349,296
133,92,120,188,349,296
133,92,122,191,348,297
134,94,118,188,348,299
135,93,118,187,349,298
134,92,118,186,349,297
134,91,118,185,350,297
134,90,117,183,351,296
134,89,118,183,351,295
134,88,116,182,351,296
134,88,117,182,351,295
134,89,117,183,351,296
134,89,116,180,352,295
134,86,114,178,352,294
133,85,113,175,353,293
133,86,115,179,352,294
133,85,114,177,352,293
133,85,113,175,353,292
133,83,113,174,353,291
133,85,116,176,355,289
132,84,120,179,356,288
133,87,123,184,357,290
133,87,119,182,355,292
133,86,119,180,356,290
133,85,118,179,356,290
134,86,119,179,356,289
131,85,122,178,359,284
130,85,123,176,361,282
129,87,129,180,361,278
130,88,131,184,361,280
131,87,130,183,363,281
132,87,131,186,362,282
132,88,131,185,363,283
133,87,132,187,364,283
134,88,131,186,364,283
134,88,132,189,363,285
135,90,134,193,361,286
135,90,134,192,362,286
135,91,134,193,362,287
136,91,135,195,362,288
245,153,268,360,728,544
247,153,266,364,730,552
247,153,265,365,730,555
251,158,266,368,730,557
251,159,266,367,730,556
252,160,264,370,731,564
253,161,269,372,729,559
249,165,276,378,725,553
245,164,278,382,724,554
248,177,284,398,715,561
240,178,289,398,709,549
236,172,287,390,714,545
234,165,286,383,717,539
234,167,287,387,713,540
234,167,288,382,711,532
228,159,289,382,709,532
224,159,287,378,710,528
228,159,289,381,708,529
225,159,289,377,705,522
222,156,288,375,706,520
224,155,286,370,709,518
222,153,288,375,708,523
224,157,288,374,708,522
223,155,289,378,707,524
223,155,288,372,708,520
222,151,286,368,707,516
220,150,286,371,708,520
226,158,288,377,709,526
225,158,289,379,708,526
227,158,289,380,709,527
225,160,290,380,706,525
223,160,290,380,704,523
223,161,290,382,704,525
225,162,291,384,704,527
223,164,291,384,702,526
222,161,291,383,703,526
222,162,291,382,702,524
222,162,292,383,700,522
219,160,292,385,699,522
221,164,293,387,697,523
216,162,293,386,694,521
220,166,293,387,694,522
219,163,292,386,697,523
221,164,293,386,697,523
219,162,293,385,696,520
218,162,293,383,694,517
217,162,293,384,694,518
215,162,293,385,691,517
212,162,293,384,689,515
213,159,292,379,691,512
214,156,292,378,694,513
214,157,291,376,693,511
214,155,291,377,696,513
215,154,291,375,696,511
214,154,291,376,695,511
215,155,291,376,696,512
215,157,292,379,695,513
214,155,291,375,695,510
215,154,291,375,695,510
215,154,291,376,701,514
221,155,293,377,707,518
219,156,294,380,701,515
217,161,296,388,696,520
214,163,297,391,689,519
223,175,297,403,690,532
218,175,298,403,685,530
220,178,298,404,687,531
216,171,299,396,683,520
215,172,299,399,687,524
214,170,299,397,690,524
215,169,299,396,689,522
214,169,298,397,688,522
216,170,299,396,689,522
213,167,298,393,688,518
213,168,298,394,688,519
213,168,299,393,687,518
213,167,299,392,688,518
213,166,298,392,689,517
212,165,298,390,687,515
210,164,299,391,688,516
213,166,298,392,690,518
213,165,298,391,690,517
213,166,298,391,690,517
213,165,298,392,690,518
213,166,297,391,689,516
212,165,298,392,690,518
214,166,298,392,689,518
214,166,298,391,690,518
214,163,297,388,694,517
215,163,297,387,695,517
215,162,297,387,695,518
214,161,297,386,694,516
214,162,297,388,694,519
214,162,296,386,694,517
214,162,297,388,694,519
213,161,297,385,693,515
214,162,297,387,692,517
157,106,113,200,380,349
158,109,113,200,379,349
157,113,115,211,369,356
158,116,117,211,373,353
158,111,119,210,376,351
158,114,118,209,376,351
158,111,118,208,377,351
157,112,118,208,376,351
158,111,117,207,377,351
158,112,117,208,377,351
158,111,118,211,374,353
157,117,120,212,374,352
158,114,119,210,375,352
157,118,119,211,375,352
158,114,120,211,378,351
157,113,124,212,382,347
157,113,125,213,381,348
157,115,125,215,378,349
157,116,124,216,377,350
157,117,125,216,376,350
157,117,125,216,376,350
156,118,126,219,375,351
156,122,124,221,369,354
155,123,125,222,368,353
155,122,128,224,369,352
154,126,127,227,362,355
150,133,121,230,347,359
149,134,124,231,349,357
149,133,129,235,349,353
148,134,130,234,352,352
150,131,130,234,355,352
151,130,133,231,364,349
151,128,136,233,365,347
150,129,136,234,365,346
151,128,136,232,367,347
151,127,135,231,367,347
151,128,134,230,367,348
153,125,131,227,369,350
154,125,131,226,371,349
154,124,130,227,368,350
154,124,131,226,371,349
154,124,131,226,370,349
154,123,132,225,373,348
155,122,131,224,373,349
154,124,129,223,372,349
155,121,129,222,375,348
155,122,130,223,374,348
156,118,129,219,377,347
156,116,125,215,378,347
157,113,123,212,379,347
157,112,124,212,381,346
157,112,124,210,382,345
157,110,123,210,381,346
157,112,122,209,382,345
157,110,122,208,382,345
158,108,121,206,384,343
157,107,122,206,386,343
157,106,123,204,388,340
157,104,123,206,387,341
157,104,122,203,388,340
157,104,122,204,386,341
157,103,118,198,387,339
157,101,118,197,388,338
156,100,119,198,389,337
155,97,117,194,390,335
156,100,117,193,390,336
