R,G,B,O,Y,B
309,530,1326,1400,1415,615
308,530,1327,1403,1418,617
312,531,1327,1403,1420,618
318,540,1332,1416,1425,624
319,544,1341,1428,1426,627
321,546,1342,1431,1428,628
323,549,1341,1429,1427,628
322,547,1343,1433,1429,629
321,547,1340,1426,1426,626
319,544,1338,1425,1425,625
321,548,1340,1428,1425,626
320,547,1342,1430,1426,627
322,549,1343,1433,1427,628
322,550,1348,1443,1429,632
322,551,1345,1437,1426,628
315,549,1347,1438,1421,625
316,548,1350,1442,1423,627
317,551,1351,1444,1423,628
320,556,1354,1450,1424,630
321,560,1358,1458,1424,633
323,564,1363,1469,1428,637
325,568,1365,1475,1429,640
326,571,1362,1466,1424,635
316,560,1361,1462,1420,631
319,564,1364,1467,1419,632
316,564,1358,1455,1415,627
316,561,1363,1467,1420,632
175,464,717,951,719,462
183,466,728,963,737,473
197,468,734,967,744,475
197,469,746,978,763,485
202,471,742,976,763,488
207,472,747,980,772,491
209,472,743,976,758,482
205,471,745,975,758,480
200,468,753,979,762,475
199,465,759,979,764,472
189,457,751,960,733,442
168,442,751,956,731,438
168,442,754,953,730,433
180,452,746,959,733,447
179,450,744,948,720,431
172,446,748,954,728,437
174,444,746,943,716,424
171,438,746,941,716,422
170,439,745,943,718,426
169,438,741,938,711,422
170,439,740,938,711,422
173,441,745,938,713,420
167,434,747,941,715,421
168,435,752,945,722,424
168,434,746,940,715,420
162,431,746,939,716,420
160,426,750,937,716,415
168,433,748,936,716,416
160,428,749,938,717,417
163,430,751,940,719,419
167,433,749,937,715,415
163,429,754,939,720,416
168,433,756,943,724,420
167,431,757,943,725,419
169,432,758,946,727,420
167,432,756,943,723,419
166,430,755,940,720,415
166,431,755,941,722,416
166,430,750,936,716,413
158,426,748,933,713,412
165,430,748,935,715,413
160,427,744,930,708,408
158,426,742,927,705,406
158,426,749,934,713,411
160,428,750,938,718,417
160,429,748,934,712,412
156,427,751,938,715,415
161,433,747,935,711,414
160,432,749,936,713,413
162,431,752,937,715,412
164,432,760,944,724,416
169,436,759,945,724,419
162,431,758,943,723,418
157,427,753,937,715,412
162,432,750,935,713,412
163,431,759,940,721,415
166,435,751,936,715,414
158,429,756,942,721,417
161,430,747,931,709,410
153,428,732,923,696,408
151,428,737,939,709,424
152,432,727,927,694,415
156,436,731,931,700,418
156,436,733,932,701,418
159,438,732,934,703,420
158,437,742,940,711,422
157,433,741,933,706,415
157,432,750,943,717,422
163,436,752,942,717,420
161,434,754,943,719,420
167,437,752,939,716,417
164,435,756,944,721,420
162,433,754,940,717,416
162,431,757,943,720,417
163,432,756,940,718,415
165,433,760,943,722,415
164,431,754,939,717,414
159,428,752,937,714,414
161,429,759,942,720,415
147,290,611,692,605,303
148,290,614,693,613,303
150,288,617,692,617,302
146,282,618,690,620,300
147,282,616,691,613,300
145,286,617,690,612,299
148,284,619,690,618,299
144,282,619,690,615,297
